Conversation ID,Conversation Name,Sentence Rule,Keyword Rule,Message
FAQ01-000011,FAQ01-000011 - CMF Phone,รับประกัน&&CMF|รับประกัน&&cmf|warranty&&CMF|warranty&&cmf,รับประกัน&&CMF|รับประกัน&&cmf,สำหรับสินค้า CMF Phone ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ยอดเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 1 ปี\n🔸 สายชาร์จ: รับประกัน 1 ปี\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ KOAN ได้ที่ 02-665-7311-4 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ02-000012,FAQ02-000012 - กรุงเทพมหานคร เขตคลองเตย,สาขา&&กรุงเทพมหานคร&&เขตคลองเตย | สาขา&&กรุงเทพมหานคร,คลองเตย,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตคลองเตย เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโลตัส พระราม 4 ชั้น1**\\n📞 Tel: 02-249-2853\\n🗺️ Google Maps: https://maps.google.com?q=13.7173444598639,100.568925440311\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000013,FAQ02-000013 - กรุงเทพมหานคร เขตคลองสาน,สาขา&&กรุงเทพมหานคร&&เขตคลองสาน | สาขา&&กรุงเทพมหานคร,คลองสาน,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตคลองสาน เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาไอคอนสยาม**\\n📞 Tel: 02-288-0278\\n🗺️ Google Maps: https://goo.gl/maps/917wQUKiGJyM7aq37\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000014,FAQ02-000014 - กรุงเทพมหานคร เขตจตุจักร,สาขา&&กรุงเทพมหานคร&&เขตจตุจักร | สาขา&&กรุงเทพมหานคร,จตุจักร,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตจตุจักร เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท ไอโอที สาขาเซ็นทรัล ลาดพร้าว ชั้น3**\\n📞 Tel: 02-541-1519\\n🗺️ Google Maps: http://goo.gl/maps/HM4Jw\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000015,FAQ02-000015 - กรุงเทพมหานคร เขตธนบุรี,สาขา&&กรุงเทพมหานคร&&เขตธนบุรี | สาขา&&กรุงเทพมหานคร,ธนบุรี,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตธนบุรี เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาเดอะมอลล์ ท่าพระ ชั้น3**\\n📞 Tel: 02-477-9940\\n🗺️ Google Maps: http://goo.gl/maps/ZhNkN\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000016,FAQ02-000016 - กรุงเทพมหานคร เขตบางกอกน้อย,สาขา&&กรุงเทพมหานคร&&เขตบางกอกน้อย | สาขา&&กรุงเทพมหานคร,บางกอกน้อย,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตบางกอกน้อย เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาเซ็นทรัล ปิ่นเกล้า ชั้น2**\\n📞 Tel: 02-0291730\\n🗺️ Google Maps: http://goo.gl/maps/9mabz\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000017,FAQ02-000017 - กรุงเทพมหานคร เขตบางแค,สาขา&&กรุงเทพมหานคร&&เขตบางแค | สาขา&&กรุงเทพมหานคร,บางแค,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตบางแค เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาบิ๊กซี เพชรเกษม ชั้น1**\\n📞 Tel: 02-444-1757-8\\n🗺️ Google Maps: http://goo.gl/maps/JXZAK\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000018,FAQ02-000018 - กรุงเทพมหานคร เขตบางนา,สาขา&&กรุงเทพมหานคร&&เขตบางนา | สาขา&&กรุงเทพมหานคร,บางนา,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตบางนา เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท ไอโอที สาขาเซ็นทรัล บางนา 3 ชั้น5**\\n📞 Tel: 02-398-7916\\n🗺️ Google Maps: http://goo.gl/maps/YIDHp\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000019,FAQ02-000019 - กรุงเทพมหานคร เขตพญาไท,สาขา&&กรุงเทพมหานคร&&เขตพญาไท | สาขา&&กรุงเทพมหานคร,พญาไท,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตพญาไท เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาบิ๊กซี สะพานควาย ชั้น1**\\n📞 Tel: 02-616-7171\\n🗺️ Google Maps: http://goo.gl/maps/ByZ20\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000020,FAQ02-000020 - กรุงเทพมหานคร เขตลาดกระบัง,สาขา&&กรุงเทพมหานคร&&เขตลาดกระบัง | สาขา&&กรุงเทพมหานคร,ลาดกระบัง,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตลาดกระบัง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโรบินสัน ลาดกระบัง**\\n📞 Tel: 02-029-0507\\n🗺️ Google Maps: https://goo.gl/maps/ecnvD6uiMdEmYNkx9\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000021,FAQ02-000021 - กรุงเทพมหานคร เขตลาดพร้าว,สาขา&&กรุงเทพมหานคร&&เขตลาดพร้าว | สาขา&&กรุงเทพมหานคร,ลาดพร้าว,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตลาดพร้าว เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาเซ็นทรัล เอสวิลล์ ชั้น2**\\n📞 Tel: 02-042-0941-2\\n🗺️ Google Maps: https://goo.gl/maps/RiFb4tobWqD2\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000022,FAQ02-000022 - กรุงเทพมหานคร เขตสวนหลวง,สาขา&&กรุงเทพมหานคร&&เขตสวนหลวง | สาขา&&กรุงเทพมหานคร,สวนหลวง,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตสวนหลวง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโลตัส พัฒนาการ ชั้น1**\\n📞 Tel: 02-002-3280\\n🗺️ Google Maps: https://goo.gl/maps/LgjRq1Xggx92\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000023,FAQ02-000023 - กรุงเทพมหานคร เขตสะพานสูง,สาขา&&กรุงเทพมหานคร&&เขตสะพานสูง | สาขา&&กรุงเทพมหานคร,สะพานสูง,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตสะพานสูง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาสำนักงานใหญ่**\\n📞 Tel: 02-218-0227\\n🗺️ Google Maps: https://goo.gl/maps/LjcDS54QNGgNKPSh6\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000024,FAQ02-000024 - กรุงเทพมหานคร เขตห้วยขวาง,สาขา&&กรุงเทพมหานคร&&เขตห้วยขวาง | สาขา&&กรุงเทพมหานคร,ห้วยขวาง,"สำหรับสาขาในพื้นที่ กรุงเทพมหานคร - เขตห้วยขวาง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาเซ็นทรัล พระราม9 ชั้นB**\\n📞 Tel: 02-160-2917\\n🗺️ Google Maps: http://goo.gl/maps/6JDwq\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000025,FAQ02-000025 - ฉะเชิงเทรา เมือง,สาขา&&ฉะเชิงเทรา&&เมือง | สาขา&&ฉะเชิงเทรา,ฉะเชิงเทรา,"สำหรับสาขาในพื้นที่ ฉะเชิงเทรา - เมือง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ทฉะเชิงเทรา**\\n📞 Tel: 03-305-1159\\n🗺️ Google Maps: https://maps.google.com?q=13.6681553205951,101.048878580331\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000026,FAQ02-000026 - ชลบุรี บ้านบึง,สาขา&&ชลบุรี&&บ้านบึง | สาขา&&ชลบุรี,บ้านบึง,"สำหรับสาขาในพื้นที่ ชลบุรี - บ้านบึง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโลตัสบ้านบึง**\\n📞 Tel: 09-919-1318\\n🗺️ Google Maps: https://goo.gl/maps/rXkXHGQxKvYpNjCz7 Location ครับ\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000027,FAQ02-000027 - ชลบุรี ศรีราชา,สาขา&&ชลบุรี&&ศรีราชา | สาขา&&ชลบุรี,ศรีราชา,"สำหรับสาขาในพื้นที่ ชลบุรี - ศรีราชา เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโรบินสัน ศรีราชา ชั้น2**\\n📞 Tel: 038-322-689\\n🗺️ Google Maps: https://goo.gl/maps/wEVWwFouiq82\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000028,FAQ02-000028 - ชุมพร เมือง,สาขา&&ชุมพร&&เมือง | สาขา&&ชุมพร,ชุมพร,"สำหรับสาขาในพื้นที่ ชุมพร - เมือง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโลตัสชุมพร ชั้น2**\\n📞 Tel: 077-658577\\n🗺️ Google Maps: https://goo.gl/maps/TcQ7iW2qpvwWXq2J8\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000029,FAQ02-000029 - เชียงราย เมือง,สาขา&&เชียงราย&&เมือง | สาขา&&เชียงราย,เชียงราย,"สำหรับสาขาในพื้นที่ เชียงราย - เมือง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เอไอเอส เทเลวิช บิ๊กซีเชียงราย**\\n📞 Tel: 053-153-432\\n🗺️ Google Maps: http://goo.gl/maps/VZk7q\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000030,FAQ02-000030 - เชียงใหม่ ฝาง,สาขา&&เชียงใหม่&&ฝาง | สาขา&&เชียงใหม่,เชียงใหม่,"สำหรับสาขาในพื้นที่ เชียงใหม่ - ฝาง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **โลตัสฝาง**\\n📞 Tel: 05-200-5892\\n🗺️ Google Maps: https://goo.gl/maps/79ouQvBDNbLLaL1e8\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
FAQ02-000031,FAQ02-000031 - ตรัง เมือง,สาขา&&ตรัง&&เมือง | สาขา&&ตรัง,ตรัง,"สำหรับสาขาในพื้นที่ ตรัง - เมือง เรามีสาขาที่พร้อมให้บริการค่ะ:\\n\\n📍 **เจมาร์ท สาขาโรบินสัน ตรัง ชั้น 2**\\n📞 Tel: 075-821145\\n🗺️ Google Maps: https://goo.gl/maps/2dCYZeLpJBt6k5yV8\\n\\nสาขานี้อยู่ใกล้คุณลูกค้าและพร้อมให้บริการทุกความต้องการด้านมือถือนะคะ\\n\\nหากต้องการข้อมูลเพิ่มเติม สามารถโทรสอบถามได้เลยค่ะ\\n\\nยินดีให้บริการค่ะ! 💙"""
